yft_id,fct_id,ch_title,en_title,ref_num
yft_1,fct_1,道,circuit,6306
yft_2,fct_1,路,route,3839
yft_3,fct_1,省,province,5176
yft_4,fct_1,府,prefecture,2034
yft_5,fct_1,州,department,1332
yft_6,fct_1,縣,county,2492
yft_7,fct_1,郡,commandery,1731
yft_8,fct_2,鄉,township,2304
yft_9,fct_2,鎮,town,372
yft_10,fct_2,村,village,7074
yft_11,fct_2,廳,bureau,6748
yft_12,fct_1,軍,commandery,1730; 1731
yft_13,fct_2,城,walled settlement,458
yft_14,fct_2,堡,fortress,not mentioned
yft_15,fct_2,關,customs house,3263
yft_16,fct_2,鋪,post station,4816
yft_17,fct_2,營,encampment,8009
yft_18,fct_2,站,military post,74
yft_19,fct_2,驛,stage station,2926; 2927
yft_20,fct_2,廟,temple,3980
yft_21,fct_2,宮,palace,3389
yft_22,fct_1,邑,fief,2925
yft_23,fct_2,集,community,not mentioned
yft_24,fct_2,寨,stockade,58
yft_25,fct_2,亭,neighborhood,6747
yft_26,fct_1,國,state,3504
yft_27,fct_2,屯,encampment,7404
yft_28,fct_2,苑,park,8220
yft_29,fct_2,寺,temple,5534
yft_30,fct_2,莊,manor,not mentioned
yft_31,fct_3,山,mountain,4952
yft_32,fct_3,河,river,not mentioned
yft_33,fct_3,口,estuary,not mentioned
yft_34,fct_3,津,ford,not mentioned
yft_35,fct_3,灘,mudflat,not mentioned
yft_36,fct_3,水,stream,not mentioned
yft_37,fct_3,坪,flat,not mentioned
yft_38,fct_3,丘,mound,not mentioned
yft_39,fct_3,灣,bay,not mentioned
yft_40,fct_3,溝,ditch,not mentioned
yft_41,fct_3,谷,river valley,not mentioned
yft_42,fct_3,川,creek,not mentioned
yft_43,fct_3,嶺,ridge,not mentioned
yft_44,fct_4,堤,dike,not mentioned
yft_45,fct_4,埽,embarkment,not mentioned
yft_46,fct_4,壩,dam,not mentioned
yft_47,fct_4,橋,bridge,not mentioned
yft_48,fct_4,渠,canal,not mentioned
yft_49,fct_4,渡,ferry crossing,not mentioned
