,event_type_id,zh_cn_category,zh_ch_title,en_category,en_title,en_type,description
0,evtype_1,水災,溢,Disasters,yi,Flood,"Any time there is a zhang 漲(raised water level) or yan 淹, that's a flood.   Or, any time there's a daoguan 倒灌 (water going backwards into a city or neighborhood, that's a flood)."
1,evtype_2,水災,決,Disasters,jue,Breach,Any time there is a beng 崩(sudden opening) but not a shanbeng 山崩 (which is a mountainslide).  Kui潰 is a synonym of jue 決.  The difference between yi 溢and jue 決is that jue is a single location (a dike opens) but yi (flood) is a region.
2,evtype_3,水災,旱,Disasters,han,Drought,"Two synonyms:  1) ganhe 乾涸or he 涸, 2) ku 枯."
3,evtype_4,水災,災,Disasters,zai,Disaster,"Rainstorm, earthquake, landslide, locusts (rainstorm plus flood is a ""disaster"" plus ""flood."""
4,evtype_5,水災,毀,Disasters,hui,Intentional Breach,"Usually during wartime, an intentional dike breach;  or private individuals breaching a dike without approval -- either because of bad engineering or an unapproved breach for irrigation."
5,evtype_6,水災,險,Disasters,xian,Risky situation,Shixiu 失修 is used for poorly maintained waterworks.  That causes a xian 險 situation:  damaged or poorly maintained infrastucture that causes a risk.
6,evtype_7,水災,兆,Disasters,zhao,Omen,Water is clear (or sometimes dirty)
7,evtype_8,水災,徙,Disasters,xi,Course change,"Same word as duo 奪:  one river ""grabs"" another course.  A fen 分-- a river dividing in two -- is also a course change.  He 閤-- two rivers come together as one -- is also a course change.  This could be caused by either human or natural reasons."
8,evtype_9,水災,絕,Disasters,jue,Extinction (river dries up),Synonym is duanliu 斷流.  Usually happens along with a drought.
9,evtype_10,水災,塞,Disasters,sai,Blockage (from too much silt),Usually happens with the word yu 淤 for silt.  Sometimes yusai 淤塞 together is a compound.  Yuzu 淤阻 is also a compound.  Se 澀 is another synonym.
10,evtype_11,水利,議,Management,yi,Proposals and Discussion,"Yilun 議論is a discussion.  Jianyi 建議 is a proposal.  Zouyi 奏議 is a memorial with a proposal.  If a zouyi is approved, it's yi 議and also zhi 治(management).  If not, it's yi only.  Publishing of a book or essay (any literary text) about the river is also a kind of yi."
11,evtype_12,水利,遷,Management,qian,Settlement Relocation,A settlement is relocated OR extinguished or disappears.  Two words for being missing:  pi 圮or mo 沒(this is not that common).  Movement of refugeess (zaimin 災民) is also qian.  Qian is any act of people giving up their residence.
12,evtype_13,水利,放,Management,fang,Dam/Sluice Opening,Kaiba 開壩 or qiba 啓壩 two other words for dam opening.  Most of these occur in Qing.
13,evtype_14,水利,疏,Management,shu,Dredging,"Usually goes together with sai 塞-- blockage.  Synonym is jun 浚, or fangyu 放淤(removal of silt).  Shu 疏 is always about silt, otherwise it's fang 放.  "
14,evtype_15,水利,助,Management,zhu,Using water for a purpose,For agriculture and transportation.  Reflects hui 毀 in the water conditions list.  Private action (which would be zhi 治 if it were government action) goes with zhu 助.
15,evtype_16,水利,治,Management,zhi,Management,"Very huge and general.  1) Any kind of policy action or policy enforcement:  emperor enforced a law, a budget is requistions, appointment of a supervisor, tax revenue, making an imperial tour.  Emperor issues an edict (zhao 詔).  2) doing something new to the infrasructure system.  Similar to jian:  opening a canal, building a dike, repairing human damage.  But zhi 治 is more general.  But not an emergency repair.  Sometimes zhi fail and cause more flooding.  ONLY official action and policy."
16,evtype_17,水利,修,Management,xiu,Repair of Structures,Synonym is fujian 復建(rebuilding).  Also used for rebuilding a dike or embankment.  Anything to make the river go back to an old course (gudao 故道 or jiudao 舊道).
17,evtype_18,水利,救,Management,jiu,Emergency Repair,"Goes with yi 溢 (flood), jue 決 (breach), xi 徙, sai 塞, hui 毀, zai 災, xian 險.  Ji 即or xuan 鏇(immediately) mean that this is a jiu, not a xiu.  Sai 塞as a verb is an emergency blockage of a breach, and it is a jiu 救."
18,evtype_19,水利,建,Management,jian,New Construction,Dikes (di 堤) or ba (dam 壩).  Synonym is zhu 築.  Opening a canal is also a kind of jian 建(but also a zhi 治)
19,evtype_20,水利,探,Management,tan,Fieldtrip/survey,Only in late imperial times with modern science and engineering.
